,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3268,30584824,"Stylish, Comfy & Close to Downtown (Sleeps 4)",54076186,Ovation,,Bridgeport,41.8392,-87.65701,Entire home/apt,45,1,87,2020-09-17,4.0,2,306
5966,44109571,Downtown Penthouse with Private Rooftop!,170785489,Dmd,,Near North Side,41.89861,-87.63811,Entire home/apt,192,2,4,2020-09-07,1.69,31,350
2342,24061425,Spacious 4 Bedroom home next to transit! and park!,181145684,Kate,,Irving Park,41.95401,-87.72455,Entire home/apt,219,5,49,2020-02-17,1.68,1,365
3495,32763376,Luxury furnished studio in Lincoln Park 3,172402450,Lora,,Lincoln Park,41.93149,-87.66353,Entire home/apt,57,1,123,2020-09-06,6.87,7,344
4252,37252894,Shangri La above the Quad,48873294,Courtland,,Lincoln Park,41.92586,-87.65645,Entire home/apt,150,1,37,2020-09-08,2.72,1,174
4036,36063455,TRULY EPIC LOCATION BY HANCOCK TOWER 2 BEDROOM,4384965,Tom,,Near North Side,41.89755,-87.62064,Entire home/apt,200,31,0,,,10,365
2482,25083260,"Charming, hip, and cozy space. Live like a local!",26064063,Gina,,Hermosa,41.91684,-87.73848,Entire home/apt,55,2,7,2020-01-07,0.26,2,0
2280,23599181,2-Bedroom Apartment in the Heart of Chicago/Pilsen,176477205,Gil,,Lower West Side,41.84837,-87.68466,Entire home/apt,123,3,15,2019-10-11,0.49,1,99
1292,15641641,"Garden Apartment, close to ""L"" and Wrigley",65633956,Kris,,North Center,41.95022,-87.67865,Entire home/apt,100,1,111,2018-10-01,2.34,1,0
2078,21814029,Beautiful and Comfortable Lincoln Park Home,158998071,Lynn,,Lincoln Park,41.93187,-87.66258,Entire home/apt,450,1,50,2020-09-13,2.02,1,360
6196,44999876,Simple & Quiet,345300332,Aliaksandra,,Near West Side,41.8728,-87.65187,Entire home/apt,60,14,0,,,27,81
